product_id,category,price_tier,brand
PROD101,Electronics,Premium (250-500),LG
PROD102,Food & Beverage,Economy (50-100),Sony
PROD103,Apparel,Mid-range (100-250),LG
PROD104,Home & Garden,Premium (250-500),Zara
PROD105,Sports Equipment,Mid-range (100-250),Siemens
PROD106,Electronics,Budget (0-50),IKEA
PROD107,Food & Beverage,Premium (250-500),LG
PROD108,Apparel,Economy (50-100),Heinz
PROD109,Home & Garden,Economy (50-100),Samsung
PROD110,Sports Equipment,Economy (50-100),Philips
PROD111,Electronics,Mid-range (100-250),Adidas
PROD112,Food & Beverage,Premium (250-500),Nike
PROD113,Apparel,Economy (50-100),Zara
PROD114,Home & Garden,Luxury (500+),IKEA
PROD115,Sports Equipment,Economy (50-100),Apple
PROD116,Electronics,Luxury (500+),Bosch
PROD117,Food & Beverage,Luxury (500+),Bosch
PROD118,Apparel,Mid-range (100-250),Samsung
PROD119,Home & Garden,Mid-range (100-250),IKEA
PROD120,Sports Equipment,Budget (0-50),Heinz
PROD121,Electronics,Budget (0-50),Puma
PROD122,Food & Beverage,Budget (0-50),Unilever
PROD123,Apparel,Premium (250-500),Adidas
PROD124,Home & Garden,Luxury (500+),P&G
PROD125,Sports Equipment,Luxury (500+),Sony
PROD126,Electronics,Economy (50-100),Bosch
PROD127,Food & Beverage,Economy (50-100),Samsung
PROD128,Apparel,Mid-range (100-250),Sony
PROD129,Home & Garden,Premium (250-500),Philips
PROD130,Sports Equipment,Economy (50-100),Bosch
PROD131,Electronics,Budget (0-50),Zara
PROD132,Food & Beverage,Economy (50-100),Adidas
PROD133,Apparel,Premium (250-500),Colgate
PROD134,Home & Garden,Budget (0-50),Puma
PROD135,Sports Equipment,Premium (250-500),Apple
PROD136,Electronics,Luxury (500+),Samsung
PROD137,Food & Beverage,Mid-range (100-250),Bosch
PROD138,Apparel,Budget (0-50),H&M
PROD139,Home & Garden,Premium (250-500),Apple
PROD140,Sports Equipment,Budget (0-50),Sony
PROD141,Electronics,Budget (0-50),Adidas
PROD142,Food & Beverage,Mid-range (100-250),LG
PROD143,Apparel,Luxury (500+),Adidas
PROD144,Home & Garden,Budget (0-50),Nestlé
PROD145,Sports Equipment,Budget (0-50),Bosch
PROD146,Electronics,Budget (0-50),Puma
PROD147,Food & Beverage,Luxury (500+),Colgate
PROD148,Apparel,Mid-range (100-250),P&G
PROD149,Home & Garden,Budget (0-50),Zara
PROD150,Sports Equipment,Luxury (500+),Heinz
PROD151,Electronics,Economy (50-100),Adidas
PROD152,Food & Beverage,Premium (250-500),Apple
PROD153,Apparel,Budget (0-50),Zara
PROD154,Home & Garden,Budget (0-50),Nike
PROD155,Sports Equipment,Mid-range (100-250),Apple
PROD156,Electronics,Economy (50-100),Panasonic
PROD157,Food & Beverage,Premium (250-500),LG
PROD158,Apparel,Budget (0-50),Zara
PROD159,Home & Garden,Budget (0-50),Nestlé
PROD160,Sports Equipment,Mid-range (100-250),Philips
PROD161,Electronics,Economy (50-100),Zara
PROD162,Food & Beverage,Premium (250-500),Heinz
PROD163,Apparel,Budget (0-50),3M
PROD164,Home & Garden,Luxury (500+),Apple
PROD165,Sports Equipment,Economy (50-100),Puma
PROD166,Electronics,Economy (50-100),Colgate
PROD167,Food & Beverage,Budget (0-50),Puma
PROD168,Apparel,Budget (0-50),Samsung
PROD169,Home & Garden,Premium (250-500),Unilever
PROD170,Sports Equipment,Budget (0-50),Sony
PROD171,Electronics,Premium (250-500),Apple
PROD172,Food & Beverage,Luxury (500+),Samsung
PROD173,Apparel,Mid-range (100-250),IKEA
PROD174,Home & Garden,Budget (0-50),Nike
PROD175,Sports Equipment,Budget (0-50),Heinz
PROD176,Electronics,Premium (250-500),Nestlé
PROD177,Food & Beverage,Mid-range (100-250),Nike
PROD178,Apparel,Budget (0-50),Samsung
PROD179,Home & Garden,Luxury (500+),Nestlé
PROD180,Sports Equipment,Luxury (500+),Colgate
PROD181,Electronics,Mid-range (100-250),LG
PROD182,Food & Beverage,Luxury (500+),Samsung
PROD183,Apparel,Mid-range (100-250),P&G
PROD184,Home & Garden,Mid-range (100-250),Puma
PROD185,Sports Equipment,Economy (50-100),Philips
PROD186,Electronics,Economy (50-100),Apple
PROD187,Food & Beverage,Luxury (500+),Nestlé
PROD188,Apparel,Luxury (500+),H&M
PROD189,Home & Garden,Premium (250-500),Apple
PROD190,Sports Equipment,Premium (250-500),Siemens
PROD191,Electronics,Luxury (500+),Heinz
PROD192,Food & Beverage,Luxury (500+),Nike
PROD193,Apparel,Luxury (500+),Sony
PROD194,Home & Garden,Economy (50-100),Sony
PROD195,Sports Equipment,Premium (250-500),3M
PROD196,Electronics,Mid-range (100-250),Nike
PROD197,Food & Beverage,Economy (50-100),Heinz
PROD198,Apparel,Luxury (500+),LG
PROD199,Home & Garden,Mid-range (100-250),Unilever
PROD200,Sports Equipment,Mid-range (100-250),Adidas
